datetime,open,close,high,low,volume,ma120
2022-12-29,3854.24,3856.7,3868.29,3838.48,79394815,3962.0605833333334
2022-12-30,3873.94,3871.63,3887.55,3868.76,78773272,3957.2952500000006
2023-01-03,3864.84,3887.9,3893.99,3831.25,115051875,3952.7879166666667
2023-01-04,3886.25,3892.95,3905.9,3873.65,110660743,3948.940666666667
2023-01-05,3913.49,3968.58,3974.88,3912.26,116502395,3946.0653333333335
2023-01-06,3969.55,3980.89,4000.41,3966.47,110953038,3943.2272499999995
2023-01-09,3998.53,4013.12,4023.09,3990.71,117054425,3940.6526666666664
2023-01-10,4014.71,4017.47,4030.46,4002.23,101751141,3938.7271666666666
2023-01-11,4019.88,4010.03,4043.4,4008.02,99997889,3936.3724999999995
2023-01-12,4021.75,4017.87,4030.29,4003.51,90552627,3934.276916666667
2023-01-13,4032.29,4074.38,4074.38,4027.89,95871896,3932.53175
2023-01-16,4077.88,4137.96,4177.1,4076.64,151395455,3931.71425
2023-01-17,4138.84,4137.24,4148.58,4118.16,95479040,3930.8726666666666
2023-01-18,4140.1,4130.31,4151.46,4125.77,84200645,3930.186583333333
2023-01-19,4125.58,4156.01,4156.01,4105.98,94608398,3929.436833333333
2023-01-20,4166.84,4181.53,4189.83,4161.67,123553809,3929.07425
2023-01-30,4267.62,4201.35,4268.15,4197.86,164607064,3928.871583333333
2023-01-31,4200.58,4156.86,4212.73,4153.05,124550835,3928.76125
2023-02-01,4170.13,4195.93,4195.93,4137.77,141008954,3928.8216666666663
2023-02-02,4207.41,4181.15,4207.41,4170.56,133823736,3929.4394166666666
2023-02-03,4162.03,4141.63,4162.03,4103.17,117041221,3930.0615000000003
2023-02-06,4103.83,4086.88,4105.94,4065.22,110192717,3929.9393333333337
2023-02-07,4098.31,4094.23,4107.34,4077.96,91360072,3929.417
2023-02-08,4099.86,4076.14,4111.47,4072.65,84786099,3928.817583333333
2023-02-09,4067.56,4130.86,4130.86,4064.75,102289961,3928.605666666667
2023-02-10,4124.1,4106.31,4125.29,4092.35,96716733,3928.577083333333
2023-02-13,4098.88,4143.57,4146.45,4092.27,128892577,3928.160666666666
2023-02-14,4151.25,4145.29,4152.05,4125.26,102499890,3927.7785
2023-02-15,4146.85,4123.69,4153.72,4115.97,121664508,3927.261916666667
2023-02-16,4125.41,4093.49,4167.9,4068.86,159310585,3926.559
2023-02-17,4086.22,4034.51,4104.64,4032.93,116142589,3925.038583333333
2023-02-20,4039.96,4133.49,4134.86,4035.48,161794481,3924.650166666667
2023-02-21,4130.06,4144.35,4151.8,4116.27,145776173,3924.5941666666668
2023-02-22,4118.97,4106.95,4134.88,4101.86,104290295,3923.97375
2023-02-23,4106.21,4103.65,4132.39,4088.21,103564906,3923.4951666666666
2023-02-24,4100.99,4061.05,4102.61,4048.24,100989425,3923.317083333334
2023-02-27,4040.46,4043.84,4067.03,4034.52,93787630,3922.71375
2023-02-28,4058.13,4069.46,4074.26,4026.45,110323591,3922.396333333333
2023-03-01,4068.73,4126.94,4135.48,4061.22,156015794,3922.708166666667
2023-03-02,4119.99,4117.74,4137.25,4113.83,148217637,3923.05775
2023-03-03,4126.02,4130.55,4135.21,4100.38,160331741,3923.4886666666666
2023-03-06,4131.15,4109.01,4132.84,4088.45,162971807,3924.032583333333
2023-03-07,4103.64,4048.85,4124.96,4046.57,195912068,3924.2429166666666
2023-03-08,4030.74,4034.11,4037.29,4011.52,117936493,3924.3985833333336
2023-03-09,4035.84,4019.85,4043.85,4000.89,116539629,3924.1283333333336
2023-03-10,3991.8,3967.14,4004.36,3966.43,123855409,3923.396333333333
2023-03-13,3962.64,4008.69,4008.69,3962.64,143561370,3923.15475
2023-03-14,3999.88,3984.7,4001.94,3946.94,150544174,3922.2456666666667
2023-03-15,4011.84,3986.9,4018.75,3986.9,142026007,3921.2105833333335
2023-03-16,3958.2,3939.15,3981.32,3936.48,152515644,3920.1588333333334
2023-03-17,3971.16,3958.82,4004.22,3945.25,177433818,3919.5896666666667
2023-03-20,3962.66,3939.08,3979.55,3935.02,205264970,3919.6429999999996
2023-03-21,3948.16,3982.38,3982.7,3948.16,145090679,3920.0961666666667
2023-03-22,3993.78,3999.44,4016.45,3986.71,149228970,3920.651166666667
2023-03-23,3985.99,4039.09,4039.09,3984.0,158887421,3921.7791666666667
2023-03-24,4035.16,4027.05,4037.84,4017.0,159442330,3923.093416666667
2023-03-27,4023.3,4012.48,4023.3,3987.03,168482279,3924.39725
2023-03-28,4015.7,3999.51,4023.78,3994.6,131895117,3925.7541666666666
2023-03-29,4013.59,4006.14,4017.76,3992.67,133743510,3926.7028333333337
2023-03-30,4009.56,4038.53,4040.5,3983.9,149901037,3928.451333333333
2023-03-31,4045.45,4050.93,4063.57,4039.96,138842546,3930.3162499999994
2023-04-03,4059.62,4090.57,4094.94,4059.06,182124313,3932.6969166666668
2023-04-04,4089.29,4103.11,4103.16,4080.07,197146631,3935.881666666667
2023-04-06,4084.13,4096.64,4098.83,4078.4,150703374,3938.95625
2023-04-07,4096.9,4123.28,4131.31,4092.18,128676738,3941.7810000000004
2023-04-10,4132.01,4104.81,4132.3,4099.05,152453002,3944.7155
2023-04-11,4108.51,4100.15,4116.12,4083.49,153901333,3946.8628333333336
2023-04-12,4102.4,4097.29,4108.25,4090.28,165965278,3948.9535
2023-04-13,4081.39,4068.98,4088.88,4059.57,156444295,3950.8760833333336
2023-04-14,4078.97,4092.0,4098.22,4075.2,150695682,3953.5049999999997
2023-04-17,4090.07,4149.38,4149.38,4089.51,188773095,3956.7920833333333
2023-04-18,4139.31,4162.03,4169.67,4138.46,170184130,3960.2849166666665
2023-04-19,4159.39,4124.56,4159.39,4118.63,162554592,3964.378166666667
2023-04-20,4122.95,4113.02,4125.82,4094.0,162706677,3968.424583333333
2023-04-21,4114.26,4032.57,4114.26,4031.91,180802435,3971.5551666666665
2023-04-24,4031.3,3982.64,4033.64,3967.91,170099217,3974.4843333333333
2023-04-25,3985.11,3962.67,3991.69,3925.44,172555409,3977.9954999999995
2023-04-26,3950.26,3959.23,3975.66,3934.66,162702006,3981.749916666667
2023-04-27,3948.03,3988.42,3999.13,3942.82,153828195,3984.7019999999998
2023-04-28,3993.26,4029.09,4030.45,3993.26,179508488,3987.629333333333
2023-05-04,4013.47,4030.25,4035.78,4001.13,227582846,3990.8155833333335
2023-05-05,4031.09,4016.88,4047.6,3998.39,206626924,3992.8965
2023-05-08,4028.11,4062.66,4070.77,4018.96,255583085,3995.291166666667
2023-05-09,4065.44,4027.88,4092.85,4026.39,279306048,3997.6124166666664
2023-05-10,4017.94,3996.87,4019.06,3984.63,207552709,3999.967416666667
2023-05-11,4005.78,3990.66,4018.06,3988.48,144804619,4002.5088333333333
2023-05-12,3987.77,3937.76,3999.38,3937.53,144421728,4003.753166666667
2023-05-15,3938.83,3998.89,3998.89,3923.03,176257362,4005.460416666667
2023-05-16,4002.52,3978.21,4005.02,3966.99,136833271,4006.39575
2023-05-17,3971.7,3960.17,3982.6,3945.71,118448185,4007.4439166666666
2023-05-18,3965.52,3956.07,3982.72,3939.55,136533947,4008.589
2023-05-19,3946.22,3944.54,3967.28,3928.32,120212479,4009.780416666667
2023-05-22,3941.0,3969.33,3985.4,3935.8,109116605,4011.4487500000005
2023-05-23,3968.23,3913.19,3971.94,3913.19,118685077,4012.6455833333334
2023-05-24,3903.78,3859.09,3903.78,3859.09,137258265,4013.358583333333
2023-05-25,3851.41,3850.5,3861.38,3817.84,124150770,4014.139333333333
2023-05-26,3848.42,3850.95,3859.63,3815.57,100326439,4014.76575
2023-05-29,3862.08,3833.94,3866.72,3819.18,131859967,4015.6049166666667
2023-05-30,3827.79,3837.75,3844.01,3789.27,137619629,4015.516
2023-05-31,3827.16,3798.54,3827.16,3781.4,126387368,4015.061833333333
2023-06-01,3788.59,3806.87,3832.21,3786.73,134561881,4014.329333333333
2023-06-02,3821.62,3861.83,3865.28,3821.62,125015110,4014.253333333333
2023-06-05,3860.56,3844.25,3860.56,3832.46,116163989,4013.398083333333
2023-06-06,3840.46,3808.16,3867.85,3802.84,125781258,4012.064416666667
2023-06-07,3815.48,3789.34,3823.11,3780.1,98862432,4010.6552500000003
2023-06-08,3791.08,3820.19,3834.39,3777.78,118700934,4009.4970000000003
2023-06-09,3822.41,3836.7,3836.7,3811.22,134319863,4008.150833333333
2023-06-12,3827.33,3844.43,3859.72,3813.86,126758543,4007.2424166666665
2023-06-13,3838.13,3864.91,3867.3,3833.46,110924946,4006.569333333333
2023-06-14,3872.72,3864.02,3891.67,3862.06,124955759,4005.8120833333332
2023-06-15,3871.77,3925.5,3925.5,3871.77,128369938,4005.591333333333
2023-06-16,3932.21,3963.35,3968.01,3928.54,139760076,4005.6673333333333
2023-06-19,3957.03,3930.91,3957.03,3922.47,134905848,4005.981416666667
2023-06-20,3926.09,3924.24,3937.49,3918.47,122520318,4006.7749166666667
2023-06-21,3909.1,3864.03,3920.13,3864.03,118346575,4007.0540000000005
2023-06-26,3833.44,3809.7,3841.29,3801.05,133990419,4006.834583333333
2023-06-27,3811.69,3845.43,3851.9,3806.32,116992681,4006.9780000000005
2023-06-28,3836.61,3840.8,3846.85,3808.16,107021541,4006.9555833333334
2023-06-29,3836.73,3821.84,3840.71,3817.38,98289274,4006.4055
2023-06-30,3816.33,3842.45,3860.03,3813.55,101268429,4006.1654166666663
2023-07-03,3853.29,3892.88,3897.33,3853.29,133158051,4006.4669166666663
2023-07-04,3888.03,3899.01,3899.98,3878.4,109494527,4006.6950833333335
2023-07-05,3895.19,3868.81,3899.52,3864.13,97636384,4006.536
2023-07-06,3857.03,3842.75,3876.89,3836.46,100121842,4006.1176666666665
2023-07-07,3831.6,3825.7,3844.84,3819.08,100906920,4004.927
2023-07-10,3841.56,3844.33,3865.46,3831.92,92033441,4003.7889999999998
2023-07-11,3853.8,3869.49,3870.65,3844.52,86510716,4002.592083333334
2023-07-12,3864.6,3843.44,3874.04,3838.56,111522024,4001.1418333333336
2023-07-13,3855.66,3898.42,3901.1,3855.66,120300232,4000.2117500000004
2023-07-14,3904.6,3899.1,3908.49,3893.79,122364846,3999.2219999999998
2023-07-17,3881.62,3867.17,3881.62,3852.26,98340144,3997.4952500000004
2023-07-18,3871.04,3854.94,3871.04,3844.51,91438615,3995.13675
2023-07-19,3848.48,3850.87,3860.01,3830.41,79585700,3992.750333333334
2023-07-20,3857.77,3823.69,3875.62,3818.71,92042076,3990.195166666667
2023-07-21,3816.98,3821.91,3849.51,3808.8,79507563,3987.411
2023-07-24,3803.35,3805.22,3828.79,3798.8,75483545,3984.275083333333
2023-07-25,3866.64,3915.12,3915.81,3866.64,163066320,3981.8898333333336
2023-07-26,3908.17,3907.01,3912.98,3893.4,107881717,3979.80775
2023-07-27,3914.23,3902.35,3935.36,3894.69,110667109,3977.3612500000004
2023-07-28,3889.79,3992.74,4000.92,3886.55,179735481,3975.791166666667
2023-07-31,4018.89,4014.63,4064.36,4002.08,199606830,3974.7328333333335
2023-08-01,4009.18,3998.0,4031.7,3983.03,142286859,3973.9921666666664
2023-08-02,3985.7,3969.9,4008.33,3958.51,125855690,3972.956083333333
2023-08-03,3962.13,4004.98,4005.0,3962.13,129006640,3972.363083333333
2023-08-04,4033.72,4020.58,4058.24,4011.62,178267189,3971.4440833333338
2023-08-07,4002.97,3990.15,4002.97,3977.02,121310662,3970.4760833333335
